nick,label,years,team,confidence,note
device,awp,*,,high,
dev1ce,awp,*,,high,Liquipedia spelling
kennyS,awp,*,,high,
GuardiaN,awp,*,,high,
JW,awp,*,,high,
Skadoodle,awp,*,,high,
ZywOo,awp,*,,high,
m0NESY,awp,*,,high,
sh1ro,awp,*,,high,
woxic,awp,*,,high,
allu,awp,*,,high,
oskar,awp,*,,high,
smooya,awp,*,,high,
JUGi,awp,*,,high,
broky,awp,*,,high,
degster,awp,*,,high,
torzsi,awp,*,,high,
acoR,awp,*,,high,
SunPayus,awp,*,,high,
saffee,awp,*,,high,
w0nderful,awp,*,,high,
HEN1,awp,*,,high,
hen1,awp,*,,high,
s1mple,awp,2018-2023,,high,hybrid rifler earlier
Jame,awp,*,,high,
SmithZz,awp,2015-2016,,high,
CeRq,awp,*,,high,
jdm64,awp,*,,high,
koosta,awp,*,,high,CLG/Liquid AWPer
markeloff,awp,*,,high,
Maikelele,awp,*,,high,
draken,awp,*,,high,
nicoodoz,awp,*,,high,
mantuu,awp,*,,high,
hallzerk,awp,*,,high,
nqz,awp,*,,high,
dumau,awp,*,,high,
chrisJ,awp,2015-2016,,medium,
mertz,awp,*,,medium,
xccurate,awp,*,,medium,
pashaBiceps,awp,2015-2016,,medium,
xsepower,awp,*,,medium,
molodoy,awp,*,,medium,
sl3nd,awp,*,,medium,
karrigan,igl,*,,high,
gla1ve,igl,*,,high,
Zeus,igl,*,,high,
FalleN,igl,*,,high,
cadiaN,igl,*,,high,
apEX,igl,2019-2025,,high,Vitality
Aleksib,igl,*,,high,
nexa,igl,2019-2025,,high,not IGL at Renegades
HooXi,igl,*,,high,
Boombl4,igl,*,,high,
nafany,igl,*,,high,
chopper,igl,*,,high,
arT,igl,2019-2022,,high,FalleN took over FURIA calling in 2023
siuhy,igl,*,,high,
dexter,igl,*,,high,
gob b,igl,2015-2018,,high,tabseN took over
tabseN,igl,2019-2025,,high,
MSL,igl,*,,high,
Snappi,igl,*,,high,
daps,igl,2015-2015;2017-2020,,high,stanislaw called OpTic 2016
nitr0,igl,2018-2025,,high,stanislaw called Liquid 2017
AZR,igl,*,,high,
MAJ3R,igl,*,,high,
ANGE1,igl,*,,high,
Ex6TenZ,igl,*,,high,
Golden,igl,*,,high,
Stewie2K,igl,2018-2018,Cloud9,high,IGL at C9 only; FalleN called at MIBR
FNS,igl,*,,high,
sgares,igl,*,,high,
B1ad3,igl,*,,high,
Xizt,igl,*,,high,
TaZ,igl,2015-2016,,high,
pronax,igl,*,,high,
steel,igl,2016-2016,,high,Immortals; FalleN called at Luminosity
Happy,igl,*,,high,
stanislaw,igl,2016-2019,,high,not at Conquest 2015
Slemmy,igl,*,,high,
blameF,igl,2020-2021,,high,Complexity
Maka,igl,*,,high,
bLitz,igl,*,,high,MongolZ
Snax,igl,2019-2020,,medium,
Snax,igl,2024-2024,G2,high,G2 2024
NEO,igl,2017-2018,,medium,
Jame,igl,*,,high,
BnTeT,igl,2017-2019,,medium,TYLOO
tarik,igl,2017-2017,,medium,
NBK-,igl,2015-2015,G2,low,rotated calling
shox,igl,2017-2017,,low,G2 stint
GruBy,igl,*,,medium,
AcilioN,igl,*,,medium,
kyxsan,igl,*,,medium,
npl,igl,*,,medium,
hampus,igl,*,,medium,
chrisJ,igl,2016-2018,,medium,mousesports
HUNDEN,igl,*,,medium,
kRYSTAL,igl,*,,medium,
Lack1,igl,*,,medium,
alex,igl,*,,medium,Movistar Riders
roeJ,igl,*,fnatic,medium,HooXi called at Copenhagen Flames
electroNic,igl,2022-2022,Natus Vincere,medium,took over after Boombl4
electroNic,igl,2025-2025,Virtus.pro,medium,
NiKo,igl,2020-2020,FaZe,medium,called after karrigan left
dennis,igl,2016-2017,fnatic,medium,
hazed,igl,2016-2016,,medium,CLG; FNS called in 2015
dgt,igl,2024-2024,9z,medium,
JT,igl,2024-2024,Complexity,medium,
stanislaw,igl,2017-2017,Liquid,high,
shox,igl,2016-2016,G2,medium,
shox,igl,2019-2019,G2,medium,
AdreN,igl,2016-2016,Gambit,medium,
AdreN,igl,2018-2018,Gambit,medium,
AdreN,igl,2019-2019,FaZe,high,joined FaZe as IGL
fox,igl,2015-2016,,medium,
Stewie2K,igl,2017-2017,Cloud9,medium,
seized,igl,2017-2017,Natus Vincere,medium,interim after Zeus left
Lekr0,igl,2018-2019,Ninjas in Pyjamas,medium,
blameF,igl,2019-2019,HEROIC,medium,
blameF,igl,2023-2023,Astralis,high,
almazer,igl,*,,medium,FORZE
biguzera,igl,*,,medium,paiN
ShahZaM,awp,*,,high,
Nifty,awp,*,,medium,
syrsoN,awp,*,,high,BIG
nawwk,awp,*,,high,
oSee,awp,*,,high,Liquid
farlig,awp,*,,high,
Farlig,awp,*,,high,
cadiaN,awp,*,,medium,AWPing IGL
keev,awp,*,,medium,BIG
znajder,awp,*,,medium,
snatchie,awp,*,,medium,
freddieb,awp,*,,medium,
Magiskb0Y,awp,2016-2016,,medium,Magisk started as AWPer
Bubzkji,awp,2021-2021,,medium,
headtr1ck,awp,*,,medium,
ultimate,awp,*,,medium,
SIXER,awp,*,,medium,
pashaBiceps,awp,2017-2018,,low,VP had no settled AWPer
910,awp,*,,high,"liquipedia roles=awp (sole role, status active)"
DavCost,awp,*,,high,"liquipedia roles=awp (sole role, status active)"
El1an,awp,*,,high,"liquipedia roles=awp (sole role, status active)"
Gratisfaction,awp,*,,high,"liquipedia roles=awp (sole role, status active)"
ICY,awp,*,,high,"liquipedia roles=awp (sole role, status active)"
MartinezSa,awp,*,,high,"liquipedia roles=awp (sole role, status active)"
Rickeh,awp,*!2017,,high,koosta AWPed at CLG 2017; Rickeh AWPed at Renegades
Woro2k,awp,*,,high,"liquipedia roles=awp (sole role, status active)"
dennyslaw,awp,*,,high,"liquipedia roles=awp (sole role, status active)"
hades,awp,*,,high,"liquipedia roles=awp (sole role, status active)"
hyped,awp,*,,high,"liquipedia roles=awp (sole role, status active)"
junior,awp,*,,high,"liquipedia roles=awp (sole role, status active)"
ottoNd,awp,*,,high,"liquipedia roles=awp (sole role, status active)"
poizon,awp,*,,high,"liquipedia roles=awp (sole role, status active)"
saadzin,awp,*!2025,,high,dumau AWPed at Legacy 2025
slaxz-,awp,*,,high,"liquipedia roles=awp (sole role, status active)"
story,awp,*,,high,"liquipedia roles=awp (sole role, status active)"
zorte,awp,*,,high,"liquipedia roles=awp (sole role, status active)"
